#{"t_start": 1626664554.518051, "env_id": "RockWalk-v0"}
r,l,t
347.217858,111,108.909309
207.294232,71,109.658558
227.941641,79,110.982488
196.987445,70,111.727763
200.098288,67,112.459565
200.655443,66,113.213523
406.414902,124,114.612776
99.933,41,114.733463
171.038964,60,115.460026
217.878635,75,116.207786
559.276006,171,118.286724
141.891136,54,118.981143
156.016196,60,119.696364
141.644259,51,120.409118
132.530209,51,120.549905
488.223175,152,122.60326
144.805194,54,123.322643
369.183377,114,124.148942
313.400708,99,125.513834
225.392111,75,126.313864
58.626678,30,126.975339
149.497955,53,127.121265
202.773384,68,128.413208
646.044549,195,130.554499
213.534223,71,131.286748
191.609122,67,132.011285
181.913144,66,132.733722
180.306564,62,133.470935
198.341762,70,134.221022
444.207856,129,135.656821
571.677587,168,137.145782
150.524941,54,137.874343
443.035442,131,139.284965
302.361636,99,140.650587
122.86438,48,141.341826
462.929159,141,142.813264
353.897314,115,144.241726
707.136353,208,146.427847
343.343436,111,147.836354
623.630806,180,149.372279
238.801813,77,150.699392
161.450444,59,151.417748
511.313688,146,152.91414
401.68513,118,154.322817
889.651964,242,157.142389
243.976209,79,157.918372
236.62139,81,158.690118
680.593964,186,160.793804
546.338053,155,162.250104
488.743795,151,164.311131
216.924546,74,165.07325
129.684608,49,165.777879
398.847655,119,166.629938
508.360242,152,168.683588
329.351314,103,169.50472
225.224496,72,170.791161
100.409717,42,170.916355
182.758219,62,171.62547
492.893244,153,173.664161
251.758342,82,174.425914
469.928191,141,175.861138
284.767247,93,177.187995
405.701766,121,178.056368
306.716905,100,179.412286
328.098137,103,180.802839
241.883893,79,181.574886
402.882061,122,183.01068
353.165854,107,183.839289
107.77537,42,184.532168
264.042889,84,185.313579
279.052308,86,186.698852
133.302598,50,187.401988
187.148942,65,188.16029
600.791166,171,189.662846
160.27783,58,190.365231
206.367631,67,191.108976
170.824982,59,191.834646
228.214288,75,192.574714
163.779279,56,193.291643
166.007247,56,194.001582
236.110916,77,194.754478
188.644487,63,195.490349
234.893116,76,196.231472
111.106219,43,196.915524
314.503734,94,198.303343
550.372694,157,199.812166
197.278228,66,200.550295
350.258396,104,201.910543
396.236574,118,202.742375
133.741154,49,203.44781
325.343696,102,204.804497
80.743222,35,204.914305
198.936326,66,205.62662
563.070996,157,207.698421
165.853327,58,208.436882
482.856133,137,209.900373
265.743277,88,210.680342
235.42183,74,211.491379
154.74803,56,212.22583
170.2153,59,212.995816
201.376228,67,213.757882
59.241253,29,214.401939
206.441763,67,215.127286
183.009058,62,215.916122
84.582582,37,216.034689
263.819685,83,217.376231
141.435699,51,217.519299
97.77758,40,218.19636
94.971189,40,218.887709
138.913109,51,219.03267
126.057475,47,219.725557
95.494309,38,220.397161
62.539245,30,220.49449
121.019728,46,221.185136
180.541055,60,221.914532
239.307142,76,222.674784
229.038535,72,223.44413
52.894619,28,224.106019
255.918544,81,224.880922
314.110807,94,225.676864
125.233024,48,226.377671
122.4071,46,227.07576
575.556918,168,228.611044
69.891074,32,229.269428
311.581457,95,230.064225
509.511528,144,232.090709
179.651497,60,232.817484
272.821392,85,233.602653
368.715084,110,234.972965
192.11167,64,235.691012
180.029657,61,236.427394
287.050013,88,237.213109
137.717163,49,237.935366
58.794793,29,238.033228
142.126146,52,238.729897
168.61707,60,239.440402
87.167697,36,240.103904
45.451479,26,240.193657
125.828341,48,240.886536
325.283507,97,241.692914
419.673635,121,243.133837
259.799055,80,243.894454
163.910043,57,244.6103
484.863561,142,246.121863
164.103163,56,246.825191
75.183277,33,247.475381
55.030609,28,247.566563
185.87137,61,248.292212
106.796143,41,248.982676
222.088004,70,249.716697
188.271063,63,250.447407
249.561554,78,251.216652
205.153042,66,251.944649
131.998007,49,252.633708
59.190876,29,252.729673
108.021438,42,253.416272
92.074797,38,254.093854
81.375247,36,254.20475
31.734757,22,254.839283
238.042175,77,255.604903
96.208432,39,255.721906
112.706605,44,256.401422
169.639565,57,257.10313
57.670041,29,257.197281
143.144608,51,257.903771
173.804393,58,258.630349
160.447228,55,259.350799
191.293665,62,260.086237
189.48627,68,260.828305
240.811236,78,261.70944
174.922064,59,262.654085
241.840957,75,263.419264
301.736717,90,264.777839
421.061951,121,266.210053
139.098155,52,266.354086
330.255049,107,267.748576
90.317115,37,268.431364
38.946975,24,268.514844
220.737017,72,269.248601
127.241925,46,269.935747
105.370448,41,270.612394
44.754481,27,270.700915
239.792257,86,271.490271
119.864561,46,272.194559
189.639377,64,272.950532
205.398648,68,273.685039
109.544348,42,274.353894
182.670219,60,275.08411
43.631337,25,275.172045
273.495503,87,275.987932
236.97748,76,277.283844
34.962082,23,277.365894
39.289736,24,277.4509
19.138035,19,278.093925
158.759186,54,278.821941
57.964741,29,278.913466
151.632959,53,279.605319
253.534109,78,280.353348
109.618062,42,281.024911
397.282001,114,281.855444
152.931932,59,282.585048
104.579946,41,283.272619
42.260419,25,283.361664
106.230404,41,284.031768
146.814448,53,284.737251
96.439807,39,285.422628
138.688786,50,285.564649
310.204547,92,286.90983
112.174691,43,287.034256
257.646708,79,288.367402
137.756749,51,288.512108
184.627826,63,289.231759
147.054931,54,289.941984
167.560859,57,290.645944
137.439415,49,291.333923
121.568758,46,292.027565
92.386627,39,292.145138
79.112134,35,292.814477
164.666302,56,293.529899
101.753575,40,293.649958
98.357729,41,294.341294
266.779389,83,295.103175
76.232436,35,295.770004
152.944779,53,296.468437
290.141541,91,297.265116
89.296643,37,297.957596
31.162863,22,298.032017
46.612871,26,298.122585
169.857252,57,298.839246
379.245289,110,300.214273
43.036631,25,300.3026
58.242937,29,300.95745
383.549638,112,302.330785
70.124587,32,302.435416
527.395738,147,303.910484
142.47701,52,304.621101
85.443426,36,305.297725
165.126107,57,306.071592
81.488814,35,306.18004
47.012354,26,306.825546
74.803634,34,306.929576
238.02795,79,307.69724
58.252928,29,308.359248
339.715229,100,309.161394
111.099992,44,309.855673
175.140148,62,310.570493
68.966311,32,311.234892
58.877259,29,311.331793
98.890341,41,312.020473
216.725876,70,312.757223
65.486619,31,312.864613
92.467845,38,313.537511
130.536338,47,314.221124
62.123612,30,314.316559
109.217248,42,314.993342
173.713377,59,315.715588
267.433308,83,316.475664
274.581605,89,317.262085
201.522275,68,318.011485
46.801495,26,318.665595
142.997011,52,319.38005
215.331363,69,320.127547
342.661022,102,320.934979
241.632398,76,321.734889
90.333979,38,322.394447
217.722647,74,323.155665
59.264956,29,323.812332
152.575082,53,323.955378
27.522558,21,324.592192
326.728578,110,325.413425
259.228212,80,326.725971
55.25439,28,326.819365
215.332182,69,327.54007
98.688958,40,328.235338
81.216429,35,328.342256
45.852914,26,328.99864
368.995765,107,329.825842
249.044867,77,331.136653
240.898894,78,331.905563
268.854342,82,332.679148
158.135027,55,333.403614
78.835986,34,334.07584
136.665017,49,334.21051
96.504185,39,334.892175
369.51255,113,336.328272
85.440047,36,336.437954
390.062335,130,337.89961
171.548448,59,338.608163
126.135568,48,339.309855
172.656072,60,340.022807
100.895771,41,340.693912
51.767983,27,340.78394
222.493585,71,341.527315
799.777815,219,344.269181
150.422057,55,344.418121
239.436715,76,345.740234
149.73213,54,345.887138
151.250295,55,346.593349
822.577978,208,349.308492
76.705857,34,349.415788
180.710589,60,350.140054
124.859201,47,350.849364
280.817519,90,351.631124
338.44708,102,353.004306
58.480417,29,353.099319
50.182044,27,353.744231
142.571624,50,353.883105
68.069194,32,354.537193
184.954741,64,355.258421
227.302128,72,356.003926
322.540773,105,357.379153
